date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:38:50	32603/32603	---MCZ	200	added ('OK')	text/html	etag:W/%225f08b6dd-7f5b%22	https://themified.com/friend-finder/newsfeed.html	C:/My%20Web%20Sites/social%20media/themified.com/friend-finder/newsfeed.html	(from )
18:38:51	141/141	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2023%20Aug%202023%2013:08:51%20GMT	https://themified.com/robots.txt		(from )
18:38:53	121260/121260	---M--	200	added ('OK')	text/css	etag:%225f08b6e9-1d9ac%22	https://themified.com/friend-finder/css/bootstrap.min.css	C:/My%20Web%20Sites/social%20media/themified.com/friend-finder/css/bootstrap.min.css	(from https://themified.com/friend-finder/newsfeed.html)
18:38:53	50905/50905	---M--	200	added ('OK')	text/css	etag:%225f08b6ee-c6d9%22	https://themified.com/friend-finder/css/style.css	C:/My%20Web%20Sites/social%20media/themified.com/friend-finder/css/style.css	(from https://themified.com/friend-finder/newsfeed.html)
18:38:54	51284/51284	---M--	200	added ('OK')	text/css	etag:%225f08b6ec-c854%22	https://themified.com/friend-finder/css/ionicons.min.css	C:/My%20Web%20Sites/social%20media/themified.com/friend-finder/css/ionicons.min.css	(from https://themified.com/friend-finder/newsfeed.html)
18:38:55	31000/31000	---M--	200	added ('OK')	text/css	etag:%225f08b6ec-7918%22	https://themified.com/friend-finder/css/font-awesome.min.css	C:/My%20Web%20Sites/social%20media/themified.com/friend-finder/css/font-awesome.min.css	(from https://themified.com/friend-finder/newsfeed.html)
18:38:55	51281/51281	---M--	200	added ('OK')	text/css	etag:%225f08b6eb-c851%22	https://themified.com/friend-finder/css/emoji.css	C:/My%20Web%20Sites/social%20media/themified.com/friend-finder/css/emoji.css	(from https://themified.com/friend-finder/newsfeed.html)
18:38:56	18094/18094	---M--	200	added ('OK')	image/png	etag:%225f08b710-46ae%22	https://themified.com/friend-finder/images/fav.png	C:/My%20Web%20Sites/social%20media/themified.com/friend-finder/images/fav.png	(from https://themified.com/friend-finder/newsfeed.html)
18:38:56	34016/34016	---MCZ	200	added ('OK')	text/html	etag:W/%225f08b6d6-84e0%22	https://themified.com/friend-finder/index-register.html	C:/My%20Web%20Sites/social%20media/themified.com/friend-finder/index-register.html	(from https://themified.com/friend-finder/newsfeed.html)
18:38:57	20359/20359	---M--	200	added ('OK')	image/png	etag:%225f08b715-4f87%22	https://themified.com/friend-finder/images/logo.png	C:/My%20Web%20Sites/social%20media/themified.com/friend-finder/images/logo.png	(from https://themified.com/friend-finder/newsfeed.html)
18:38:57	248/248	---M--	200	added ('OK')	image/png	etag:%225f08b709-f8%22	https://themified.com/friend-finder/images/down-arrow.png	C:/My%20Web%20Sites/social%20media/themified.com/friend-finder/images/down-arrow.png	(from https://themified.com/friend-finder/newsfeed.html)
18:38:57	18940/18940	---MCZ	200	added ('OK')	text/html	etag:W/%225f08b6d6-49fc%22	https://themified.com/friend-finder/index.html	C:/My%20Web%20Sites/social%20media/themified.com/friend-finder/index.html	(from https://themified.com/friend-finder/newsfeed.html)
18:38:58	23882/23882	---MCZ	200	added ('OK')	text/html	etag:W/%225f08b6db-5d4a%22	https://themified.com/friend-finder/newsfeed-people-nearby.html	C:/My%20Web%20Sites/social%20media/themified.com/friend-finder/newsfeed-people-nearby.html	(from https://themified.com/friend-finder/newsfeed.html)
18:38:58	23008/23008	---MCZ	200	added ('OK')	text/html	etag:W/%225f08b6d7-59e0%22	https://themified.com/friend-finder/newsfeed-friends.html	C:/My%20Web%20Sites/social%20media/themified.com/friend-finder/newsfeed-friends.html	(from https://themified.com/friend-finder/newsfeed.html)
18:38:58	36710/36710	---MCZ	200	added ('OK')	text/html	etag:W/%225f08b6d9-8f66%22	https://themified.com/friend-finder/newsfeed-messages.html	C:/My%20Web%20Sites/social%20media/themified.com/friend-finder/newsfeed-messages.html	(from https://themified.com/friend-finder/newsfeed.html)
18:38:59	58642/58642	---MCZ	200	added ('OK')	text/html	etag:W/%225f08b6d9-e512%22	https://themified.com/friend-finder/newsfeed-images.html	C:/My%20Web%20Sites/social%20media/themified.com/friend-finder/newsfeed-images.html	(from https://themified.com/friend-finder/newsfeed.html)
18:38:59	50059/50059	---MCZ	200	added ('OK')	text/html	etag:W/%225f08b6dd-c38b%22	https://themified.com/friend-finder/newsfeed-videos.html	C:/My%20Web%20Sites/social%20media/themified.com/friend-finder/newsfeed-videos.html	(from https://themified.com/friend-finder/newsfeed.html)
18:38:59	24128/24128	---MCZ	200	added ('OK')	text/html	etag:W/%225f08b6e1-5e40%22	https://themified.com/friend-finder/timeline.html	C:/My%20Web%20Sites/social%20media/themified.com/friend-finder/timeline.html	(from https://themified.com/friend-finder/newsfeed.html)
18:39:00	17225/17225	---MCZ	200	added ('OK')	text/html	etag:W/%225f08b6de-4349%22	https://themified.com/friend-finder/timeline-about.html	C:/My%20Web%20Sites/social%20media/themified.com/friend-finder/timeline-about.html	(from https://themified.com/friend-finder/newsfeed.html)
18:39:00	18871/18871	---MCZ	200	added ('OK')	text/html	etag:W/%225f08b6df-49b7%22	https://themified.com/friend-finder/timeline-album.html	C:/My%20Web%20Sites/social%20media/themified.com/friend-finder/timeline-album.html	(from https://themified.com/friend-finder/newsfeed.html)
18:39:01	20406/20406	---MCZ	200	added ('OK')	text/html	etag:W/%225f08b6e0-4fb6%22	https://themified.com/friend-finder/timeline-friends.html	C:/My%20Web%20Sites/social%20media/themified.com/friend-finder/timeline-friends.html	(from https://themified.com/friend-finder/newsfeed.html)
18:39:01	38766/38766	---MCZ	200	added ('OK')	text/html	etag:W/%225f08b6cd-976e%22	https://themified.com/friend-finder/edit-profile-basic.html	C:/My%20Web%20Sites/social%20media/themified.com/friend-finder/edit-profile-basic.html	(from https://themified.com/friend-finder/newsfeed.html)
18:39:01	20431/20431	---MCZ	200	added ('OK')	text/html	etag:W/%225f08b6d2-4fcf%22	https://themified.com/friend-finder/edit-profile-work-edu.html	C:/My%20Web%20Sites/social%20media/themified.com/friend-finder/edit-profile-work-edu.html	(from https://themified.com/friend-finder/newsfeed.html)
18:39:02	16232/16232	---MCZ	200	added ('OK')	text/html	etag:W/%225f08b6ce-3f68%22	https://themified.com/friend-finder/edit-profile-interests.html	C:/My%20Web%20Sites/social%20media/themified.com/friend-finder/edit-profile-interests.html	(from https://themified.com/friend-finder/newsfeed.html)
18:39:02	19357/19357	---MCZ	200	added ('OK')	text/html	etag:W/%225f08b6d3-4b9d%22	https://themified.com/friend-finder/edit-profile-settings.html	C:/My%20Web%20Sites/social%20media/themified.com/friend-finder/edit-profile-settings.html	(from https://themified.com/friend-finder/newsfeed.html)
18:39:02	16389/16389	---MCZ	200	added ('OK')	text/html	etag:W/%225f08b6ce-4005%22	https://themified.com/friend-finder/edit-profile-password.html	C:/My%20Web%20Sites/social%20media/themified.com/friend-finder/edit-profile-password.html	(from https://themified.com/friend-finder/newsfeed.html)
18:39:03	12753/12753	---MCZ	200	added ('OK')	text/html	etag:W/%225f08b6cc-31d1%22	https://themified.com/friend-finder/contact.html	C:/My%20Web%20Sites/social%20media/themified.com/friend-finder/contact.html	(from https://themified.com/friend-finder/newsfeed.html)
18:39:03	32589/32589	---MCZ	200	added ('OK')	text/html	etag:W/%225f08b6d4-7f4d%22	https://themified.com/friend-finder/faq.html	C:/My%20Web%20Sites/social%20media/themified.com/friend-finder/faq.html	(from https://themified.com/friend-finder/newsfeed.html)
18:39:03	10652/10652	---MCZ	200	added ('OK')	text/html	etag:W/%225f08b6ca-299c%22	https://themified.com/friend-finder/404.html	C:/My%20Web%20Sites/social%20media/themified.com/friend-finder/404.html	(from https://themified.com/friend-finder/newsfeed.html)
18:39:04	23315/23315	---M--	200	added ('OK')	image/jpeg	etag:%225f08ba39-5b13%22	https://themified.com/friend-finder/images/users/user-1.jpg	C:/My%20Web%20Sites/social%20media/themified.com/friend-finder/images/users/user-1.jpg	(from https://themified.com/friend-finder/newsfeed.html)
18:39:05	37729/37729	---M--	200	added ('OK')	image/jpeg	etag:%225f08ba41-9361%22	https://themified.com/friend-finder/images/users/user-3.jpg	C:/My%20Web%20Sites/social%20media/themified.com/friend-finder/images/users/user-3.jpg	(from https://themified.com/friend-finder/newsfeed.html)
18:39:05	65120/65120	---M--	200	added ('OK')	image/jpeg	etag:%225f08ba40-fe60%22	https://themified.com/friend-finder/images/users/user-2.jpg	C:/My%20Web%20Sites/social%20media/themified.com/friend-finder/images/users/user-2.jpg	(from https://themified.com/friend-finder/newsfeed.html)
18:39:06	24130/24130	---M--	200	added ('OK')	image/jpeg	etag:%225f08ba41-5e42%22	https://themified.com/friend-finder/images/users/user-4.jpg	C:/My%20Web%20Sites/social%20media/themified.com/friend-finder/images/users/user-4.jpg	(from https://themified.com/friend-finder/newsfeed.html)
18:39:06	41727/41727	---M--	200	added ('OK')	image/jpeg	etag:%225f08ba42-a2ff%22	https://themified.com/friend-finder/images/users/user-5.jpg	C:/My%20Web%20Sites/social%20media/themified.com/friend-finder/images/users/user-5.jpg	(from https://themified.com/friend-finder/newsfeed.html)
18:39:07	25202/25202	---M--	200	added ('OK')	image/jpeg	etag:%225f08ba42-6272%22	https://themified.com/friend-finder/images/users/user-6.jpg	C:/My%20Web%20Sites/social%20media/themified.com/friend-finder/images/users/user-6.jpg	(from https://themified.com/friend-finder/newsfeed.html)
18:39:07	52659/52659	---M--	200	added ('OK')	image/jpeg	etag:%225f08ba43-cdb3%22	https://themified.com/friend-finder/images/users/user-7.jpg	C:/My%20Web%20Sites/social%20media/themified.com/friend-finder/images/users/user-7.jpg	(from https://themified.com/friend-finder/newsfeed.html)
18:39:08	25611/25611	---M--	200	added ('OK')	image/jpeg	etag:%225f08ba43-640b%22	https://themified.com/friend-finder/images/users/user-8.jpg	C:/My%20Web%20Sites/social%20media/themified.com/friend-finder/images/users/user-8.jpg	(from https://themified.com/friend-finder/newsfeed.html)
18:39:08	34748/34748	---M--	200	added ('OK')	image/jpeg	etag:%225f08ba44-87bc%22	https://themified.com/friend-finder/images/users/user-9.jpg	C:/My%20Web%20Sites/social%20media/themified.com/friend-finder/images/users/user-9.jpg	(from https://themified.com/friend-finder/newsfeed.html)
